ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,strapi gatsbyjs course portfolio project,2020-06-25,53214,1284,56
freecodecamp org,using public api tutorial beginners,2018-11-26,66857,1332,49
freecodecamp org,understanding webpack inside,2018-05-10,36866,562,20
freecodecamp org,build node js api tutorial,2017-12-05,166593,2324,130
freecodecamp org,full stack web app using vue js express js part wrapping,2017-09-11,42464,548,163
freecodecamp org,emailing form data react nodejs p live coding jesse,2017-09-01,8849,84,9
freecodecamp org,react props live coding jesse,2017-05-11,2443,47,1
alex analyst,economy brink recession let look data,2024-06-18,12299,732,129
alex analyst,q livestream february livestream ask anything,2024-02-29,5545,191,7
alex analyst,comparison logical membership operators python python beginners,2022-11-08,52192,1354,21
alex analyst,google data analytics certificate coming soon,2021-03-04,51741,2364,316
blue brown,short shorts,2023-12-13,790929,71315,951
blue brown,lockdown math announcement,2020-04-16,892230,48750,2521
freecodecamp org,ecommerce website tutorial create b b app stripe postgres rest api backend,2022-09-29,99032,2343,65
freecodecamp org,editing react components p live coding jesse,2018-06-07,1436,40,0
freecodecamp org,talking clock daily programmer,2017-08-02,18233,343,30
freecodecamp org,animation dom beau teaches javascript,2017-05-03,45736,797,37
alex analyst,beautifulsoup requests web scraping python,2023-06-27,139939,2606,61
alex analyst,best website practice technical interview questions,2022-04-05,19476,672,56
blue brown,impossible chessboard puzzle,2020-07-05,2015121,62241,2480
freecodecamp org,intro stacks data structure explained,2024-03-19,28761,871,34
freecodecamp org,next js beginners full course,2021-06-01,223223,5706,212
freecodecamp org,apis react tutorial recipe app using react router,2019-04-25,63622,1268,70
freecodecamp org,complex routing express react p live coding jesse,2018-03-07,3993,50,4
freecodecamp org,editing salesforce visualforce pages part live coding jesse,2017-10-27,1418,19,0
freecodecamp org,designer entrepreneur colm tuite developer interviews,2017-03-17,2799,55,2
alex analyst,best coursera courses data analysts,2022-02-08,119535,5750,222
freecodecamp org,learn three js building projects,2024-06-12,68423,2452,65
freecodecamp org,linear algebra course mathematics machine learning generative ai,2024-05-27,203977,6698,193
freecodecamp org,angular supabase course build realtime chat application,2024-05-20,33368,817,30
freecodecamp org,learn git full course beginners,2024-05-08,659077,8089,362
freecodecamp org,web course walkthrough freecodecamp org rust blockchain development smart contracts,2022-09-21,350234,4115,145
freecodecamp org,linked lists technical interviews full course,2021-12-15,359995,10080,222
freecodecamp org,business building apps app product management course developers,2021-12-06,296931,11354,159
freecodecamp org,learn docker devops node js express,2021-04-29,351642,9305,442
freecodecamp org,symfony php framework tutorial full course,2019-05-09,396497,4264,262
freecodecamp org,dropbox api javascript es tutorial expense organizer,2019-04-09,41923,652,25
freecodecamp org,weather app django tutorial using python requests,2018-12-14,57771,1050,41
freecodecamp org,gentle introduction data science talk marc garcia,2018-03-24,3878,85,3
freecodecamp org,live search react wordpress api part p live coding jesse,2018-03-06,1402,41,0
alex analyst,start applying first data analyst job,2021-07-21,85881,4545,240
blue brown,three dimensional linear transformations chapter essence linear algebra,2016-08-09,2015066,35353,722
freecodecamp org,reality developer job market ex googler yk sugi podcast,2024-09-27,18708,422,62
freecodecamp org,sveltekit tailwindcss tutorial build deploy web portfolio,2023-10-03,58155,1384,66
freecodecamp org,apis beginners use api full course tutorial,2019-12-17,4401752,95512,2106
freecodecamp org,grand stack graphql react apollo neo j,2018-06-07,14754,260,14
freecodecamp org,git github rebasing,2016-09-23,34475,483,14
freecodecamp org,networks mac address,2016-09-23,17875,205,5
alex analyst,joins mysql intermediate mysql,2024-01-16,123232,1843,80
alex analyst,regular expression character classes python,2023-08-08,10670,184,13
blue brown,imaginary interest rates ep lockdown live math,2020-05-01,750469,15245,1046
blue brown,quick proof bayes theorem,2019-12-22,504233,14973,455
blue brown,sphere surface area four times shadow,2018-12-02,7902912,147963,4726
freecodecamp org,github advanced security certification pass exam,2024-07-17,29883,878,35
freecodecamp org,aws cloud complete bootcamp course,2023-11-27,544372,24842,1052
freecodecamp org,mongodb python crash course tutorial beginners,2019-02-21,291982,5039,92
freecodecamp org,connect four python game tutorial pygame,2018-11-02,91748,1155,68
