ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,python backend web development course django,2021-07-01,2195100,50656,1082
freecodecamp org,react native web game styles p live coding jesse,2019-03-20,8156,150,4
freecodecamp org,top contributor party dublin highlights interviews,2018-09-28,2076,51,2
freecodecamp org,pushing limits kubernetes game thrones,2018-04-26,2607,54,0
freecodecamp org,easily code virtual reality web experience frame webvr,2017-09-16,55584,1161,56
freecodecamp org,react dealing jquery issues live coding jesse,2017-05-23,3272,50,0
freecodecamp org,ternary operator beau teaches javascript,2017-03-15,55053,1290,42
freecodecamp org,maths programmers sets subsets supersets examples,2016-11-19,9235,108,2
alex analyst,interviewing pwc senior data analyst position,2021-08-17,95121,2546,158
alex analyst,google vs ibm data analytics certificates better,2021-04-13,336009,11742,611
alex analyst,solving leetcode sql interview questions part,2020-11-10,25582,662,65
freecodecamp org,python data science course hands projects eda ab testing business intelligence,2024-06-10,110657,3685,115
freecodecamp org,data analytics google stack sql python data visualization data analysis,2024-03-25,153742,4387,90
freecodecamp org,microsoft amazon cto cassidoo freecodecamp podcast cassidy williams,2024-03-08,20510,383,24
freecodecamp org,flutter mobile app node js back end tutorial code amazon clone full course,2022-06-09,290441,6893,278
freecodecamp org,solving python challenges python basics sam,2020-11-17,41055,1094,15
freecodecamp org,build brain computer app react native part live coding jesse,2020-03-28,63431,559,18
freecodecamp org,print styles css tutorial day css days,2018-09-16,39292,490,16
freecodecamp org,css tutorial spinning loading animation,2018-04-19,9322,328,26
freecodecamp org,graph data structure intro inc adjacency list adjacency matrix incidence matrix,2017-05-21,110646,1692,62
freecodecamp org,maths programmers sets set operators examples,2016-11-13,12182,183,4
alex analyst,create visualizations tableau tableau tutorials beginners,2021-10-05,174367,3944,187
alex analyst,ibm data analyst professional certificate coursera worth,2021-01-26,126670,3171,306
freecodecamp org,ask question,2023-02-07,45385,961,22
freecodecamp org,matlab crash course beginners,2022-11-30,738831,17911,348
freecodecamp org,git github beginners crash course,2020-05-28,4233634,93749,2897
freecodecamp org,common array methods beau teaches javascript,2017-02-08,65414,1451,41
blue brown,unexpectedly hard windmill question imo q,2019-08-04,5001422,151715,6649
freecodecamp org,python reinforcement learning using gymnasium full course,2023-03-21,92619,1962,91
freecodecamp org,computer technology basics course absolute beginners,2023-02-02,3258559,62605,754
freecodecamp org,react net web api basic app tutorial,2023-01-03,225488,3442,99
freecodecamp org,build live stream flutter app android ios course,2022-03-07,130805,3310,94
freecodecamp org,data analysis python excel users full course,2021-11-24,2380708,29733,393
freecodecamp org,c programming tutorial build band compressor audio plugin w juce framework,2021-11-15,141766,5201,188
freecodecamp org,code discord bot python host free cloud,2020-12-15,2403340,64173,3599
freecodecamp org,oracle foundations associate cloud certification pass exam full course,2020-05-02,263597,4579,329
freecodecamp org,landed dream software job months,2018-12-13,30088,667,32
freecodecamp org,intro angular tutorial,2018-06-04,15629,189,23
freecodecamp org,jolly jumper daily programmer,2017-07-20,6600,133,22
freecodecamp org,computer basics basic parts computer,2015-07-17,186444,0,91
blue brown,prime spirals,2023-12-09,3374913,228729,1809
alex analyst,use public api using public api python,2022-05-31,44934,1432,72
freecodecamp org,go react full stack app go tutorial node developers,2024-05-30,85568,2367,72
freecodecamp org,learn c programming full course mini projects,2024-03-04,392131,9352,459
freecodecamp org,ai safety full course safe ai founder machine learning ethics center ai safety,2023-08-02,38190,1362,45
freecodecamp org,r programming tutorial learn basics statistical computing,2019-06-06,4358120,69573,1802
freecodecamp org,updating slow website p live coding jesse,2017-09-12,2960,64,3
freecodecamp org,pop boxes tutorial beau teaches javascript,2017-05-11,13520,216,5
alex analyst,mistakes avoid data analytics job search careerfoundry webinar,2023-11-28,13691,432,11
alex analyst,dataanalysis dataportfolio,2023-08-14,27474,2503,25
freecodecamp org,aws cloud complete bootcamp course,2023-11-27,538965,24635,1039
freecodecamp org,learn javascript building games full course,2022-02-28,1207908,34113,904
freecodecamp org,react native web full app tutorial build workout app ios android web,2019-03-13,303258,3930,113
freecodecamp org,developing rest world,2018-08-02,3075,56,4
freecodecamp org,future javascript,2018-02-07,8474,159,9
freecodecamp org,building material design drawer materialui p live coding jesse,2017-11-14,6758,57,2
freecodecamp org,keyword beau teaches javascript,2017-03-31,58099,957,73
freecodecamp org,chrome dev tools timeline tab,2015-08-24,15521,141,4
alex analyst,data analyst live stream riding hurricane ian,2022-10-01,6745,213,14
alex analyst,became data analytics manager alex analyst show episode,2022-01-18,23132,856,359
freecodecamp org,plan code deploy startup hours full stack javascript tutorial,2019-11-26,180090,4987,138
freecodecamp org,learn python building five games full course,2019-11-06,3098239,75151,3083
freecodecamp org,learn react js full course beginners tutorial,2018-12-18,3078245,45196,2275
freecodecamp org,intro node js npm,2018-11-02,12085,262,3
freecodecamp org,css variables css tutorial day css days,2018-09-22,11538,257,11
freecodecamp org,react component lifecycle hooks methods explained,2018-09-17,161960,3210,116
freecodecamp org,react project day live coding jesse,2017-08-18,2344,27,1
freecodecamp org,day pennybox co founder reji eapen,2017-07-05,5409,81,14
